"Family","Rep","Chr8:9719736","ADAR","IFI44","IRF2","IRF8","MDA5","STING","Viperin"
29.054,4,"1",7e-04,5e-04,0.0082,0.0027,0.001,0.0056,0.0032
29.054,5,"1",6e-04,0.0021,0.0077,0.0026,0.0014,0.0042,0.0032
29.054,6,"1",5e-04,0.0018,0.0071,0.0029,9e-04,0.0047,0.0027
29.054,7,"1",7e-04,3e-04,0.0088,0.0023,0.0013,0.0067,0.0029
29.054,8,"0",0.0015,5e-04,0.0054,0.0025,0.0017,0.0044,0.0027
29.055,1,"0",0.0011,5e-04,8e-04,0.0045,0.0015,0.0061,0.0019
29.055,2,"0",8e-04,6e-04,8e-04,0.0035,8e-04,0.0076,0.0023
29.055,3,"0",6e-04,3e-04,1e-04,0.0023,6e-04,0.0014,0.0012
29.055,4,"0",0.0022,9e-04,0.0034,0.0065,0.0026,0.0072,0.0071
29.055,5,"0",0.0019,3e-04,0.0014,0.0059,0.0018,0.0109,0.0054
29.055,6,"0",0.0016,8e-04,4e-04,0.0041,0.0028,0.0071,0.0017
29.055,7,"0",7e-04,3e-04,4e-04,0.0031,8e-04,0.0037,0.0028
29.055,8,"0",0.0022,9e-04,0.002,0.0042,0.0018,0.0052,0.0059
29.056,1,"0",5e-04,0.0011,0.0019,0.0044,0.0016,0.0054,0.0041
29.056,2,"1",0.001,9e-04,0.0052,0.0038,0.0012,0.0027,0.0031
29.056,3,"1",3e-04,9e-04,0.0041,0.0026,9e-04,0.0038,0.0029
29.056,4,"0",3e-04,9e-04,9e-04,0.0019,0.001,0.0034,0.002
29.056,5,"1",0.0014,0.0021,0.0133,0.0052,0.0023,0.0053,0.0056
29.056,6,"0",8e-04,0.0041,0.001,0.0028,0.0014,0.0053,0.0028
29.056,7,"0",4e-04,7e-04,0.0016,0.0026,7e-04,0.0033,0.0029
29.056,8,"0",3e-04,9e-04,0.0023,0.0043,0.0015,0.0097,0.0022
29.061,1,"0",5e-04,4e-04,0.0011,0.0024,0.0014,0.0049,0.001
29.061,2,"0",6e-04,4e-04,7e-04,0.0024,0.0011,0.0042,0.0016
29.061,3,"0",6e-04,1e-04,9e-04,0.0025,0.0012,0.004,0.0018
29.061,4,"0",8e-04,2e-04,0.0022,0.0021,0.0015,0.0036,0.0025
29.061,5,"0",0.0011,0.001,0.0186,0.0038,0.0025,0.0084,0.0074
29.061,6,"0",7e-04,1e-04,8e-04,0.0022,0.0014,0.004,0.0013
29.061,7,"0",5e-04,3e-04,5e-04,0.002,0.0013,0.0025,0.0013
29.061,8,"0",7e-04,1e-04,0.0019,0.0017,0.001,0.0039,0.0011
29.065,1,"0",6e-04,8e-04,0.0052,0.0028,0.0019,0.0022,0.0015
29.065,2,"0",6e-04,7e-04,0.0026,0.0047,0.0014,0.0051,0.0021
29.065,3,"0",5e-04,3e-04,0.0025,0.0024,7e-04,0.002,0.003
29.065,4,"0",5e-04,6e-04,0.0012,0.003,9e-04,0.0027,0.0014
29.065,5,"0",7e-04,6e-04,0.0019,0.0057,8e-04,0.0089,0.0031
29.065,6,"0",5e-04,3e-04,4e-04,0.003,7e-04,0.004,0.0021
29.065,7,"0",5e-04,7e-04,0.0012,0.0028,9e-04,0.0028,0.0018
29.065,8,"0",0.001,6e-04,9e-04,0.0064,0.001,0.0095,0.0032
29.067,1,"0",4e-04,7e-04,6e-04,0.001,6e-04,0.002,0.0011
29.067,2,"0",7e-04,7e-04,0.0022,0.0014,0.0012,0.005,0.005
29.067,3,"0",0.0011,9e-04,0.0066,0.0047,0.0016,0.0105,0.0032
29.067,4,"0",8e-04,5e-04,0.0016,0.0012,0.001,0.0065,0.002
29.067,5,"0",0.001,7e-04,0.0043,0.0026,0.0016,0.0079,0.0089
29.067,6,"0",5e-04,0.0011,8e-04,0.0021,6e-04,0.0026,0.0018
29.067,7,"0",9e-04,6e-04,0.0051,0.0029,0.0019,0.0054,0.0061
29.067,8,"0",9e-04,8e-04,0.002,0.0035,0.0016,0.008,0.0056
29.068,1,"1",0.0012,5e-04,0.006,0.0024,0.0016,0.0071,0.0027
29.068,2,"0",8e-04,5e-04,0.0011,0.0041,0.0015,0.0054,0.0013
29.068,3,"1",7e-04,4e-04,0.0046,0.0019,0.0014,0.0053,0.0034
29.068,4,"1",0.0011,5e-04,0.0028,0.0041,0.0016,0.0069,0.0036
29.068,5,"1",9e-04,3e-04,0.0033,0.0045,0.0017,0.0119,0.002
29.068,6,"1",0.0014,4e-04,0.0019,0.0048,0.0025,0.0143,0.0012
29.068,7,"1",0.001,5e-04,0.0065,0.0035,0.0015,0.0049,0.0029
29.069,1,"0",5e-04,5e-04,0.0023,0.0046,0.0016,0.0054,0.0023
29.069,2,"0",0.0012,9e-04,0.0105,0.0075,0.0015,0.0088,0.0041
29.069,3,"0",0.0011,8e-04,0.0051,0.0075,0.0028,0.012,0.0033
29.069,4,"0",0.0015,0.0018,0.0092,0.0057,0.0019,0.0113,0.002
29.069,5,"0",0.0016,0.0017,0.0173,0.0072,0.0029,0.0114,0.0051
29.069,6,"0",9e-04,5e-04,0.0032,0.0044,0.0019,0.0032,0.0049
29.069,7,"0",0.001,0.0014,0.0036,0.0072,0.0028,0.0103,0.0045
29.069,8,"0",0.0014,0.0012,0.0074,0.0089,0.0027,0.0115,0.0047
29.07,1,"1",8e-04,6e-04,0.005,0.0032,0.0015,0.0055,0.0027
29.07,2,"1",0.001,9e-04,0.0085,0.0039,0.002,0.0069,8e-04
29.07,3,"1",9e-04,2e-04,0.0101,0.0036,0.0016,0.0034,0.0082
29.07,4,"1",0.001,6e-04,0.0093,0.0046,0.0016,0.0051,0.0012
29.07,5,"1",0.001,9e-04,0.007,0.0037,0.0018,0.003,0.0034
29.07,6,"1",0.0022,0.0011,0.0171,0.0057,0.0038,0.0089,0.0085
29.07,7,"0",0.0015,5e-04,0.0252,0.0084,0.0035,0.0098,0.0019
29.07,8,"1",0.0011,4e-04,0.0074,0.0038,0.0026,0.0085,0.0043
29.072,1,"1",8e-04,3e-04,0.0049,0.0017,9e-04,0.0041,8e-04
29.072,2,"1",8e-04,2e-04,0.0054,0.0025,0.0011,0.0046,0.0017
29.072,3,"0",7e-04,4e-04,9e-04,0.0022,0.0011,0.0034,0.0013
29.072,4,"0",5e-04,2e-04,4e-04,0.002,8e-04,0.0027,2e-04
29.072,5,"1",6e-04,2e-04,0.0077,0.0023,7e-04,0.0022,0.0027
29.072,6,"1",8e-04,6e-04,0.0053,0.0024,0.0012,0.0037,0.0017
29.072,7,"0",5e-04,3e-04,7e-04,0.0018,9e-04,0.0016,8e-04
29.073,1,"1",6e-04,0.0013,0.015,0.0093,0.0015,0.0164,0.0042
29.073,2,"1",0.0011,1e-04,0.0161,0.0081,0.0018,0.0126,0.0043
29.073,3,"1",8e-04,2e-04,0.0027,0.0058,0.0019,0.0081,0.0039
29.073,4,"1",0.0011,5e-04,0.0165,0.008,0.0027,0.0094,0.004
29.073,5,"1",0.001,3e-04,0.0216,0.0069,0.0023,0.007,0.0069
29.073,6,"0",0.001,8e-04,0.0041,0.0039,0.0022,0.0051,0.005
29.073,7,"1",0.0016,0.0011,0.0386,0.0082,0.0032,0.0178,0.0091
29.073,8,"0",0.0012,0.0014,0.0051,0.0049,0.0027,0.0074,0.0048
